CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12541,30,52,981.18,4,3,4,434
12544,36,19,372.7,3,2,2,322
12545,75,50,1000.39,2,3,4,234
12546,47,69,1161.5,3,4,4,344
12547,198,8,207.79999999999998,1,1,1,111
12548,166,5,95.19999999999999,2,1,1,211
12550,79,57,964.83,2,3,4,234
12551,358,10,168.0,1,1,1,111
12552,39,20,437.82,3,2,2,322
12553,8,191,3692.28,5,5,5,555
12556,50,121,603.71,3,4,3,343
12557,16,33,11990.960000000001,4,3,5,435
12558,8,11,269.96,5,1,2,512
12559,311,21,561.71,1,2,3,123
12560,5,105,2134.01,5,4,5,545
12561,303,16,238.85,1,2,1,121
12562,8,168,3781.7400000000002,5,5,5,555
12564,261,21,456.9,1,2,2,122
12565,289,9,145.92,1,1,1,111
12566,86,19,351.65,2,2,2,222
12567,23,446,9401.28,4,5,5,455
12569,2,188,4124.69,5,5,5,555
12571,40,34,519.61,3,3,3,333
12572,9,60,1020.42,5,4,4,544
12573,227,28,160.54000000000002,1,2,1,121
12574,316,11,218.45,1,1,1,111
12576,36,88,1315.83,3,4,4,344
12577,35,147,657.8,3,5,3,353
12578,21,114,2794.51,4,4,5,445
12579,78,29,440.42,2,2,2,222
12580,247,24,415.7,1,2,2,122
12581,40,15,197.71,3,2,1,321
12582,239,22,511.36,1,2,3,123
12583,3,247,7281.38,5,5,5,555
12584,4,96,2338.15,5,4,5,545
12585,234,87,2040.1,1,4,4,144
12586,17,11,196.94000000000003,4,1,1,411
12587,8,4,144.0,5,1,1,511
12588,39,10,214.89999999999998,3,1,1,311
12589,29,35,646.68,4,3,3,433
12590,211,68,9864.26,1,4,5,145
12591,317,26,452.84999999999997,1,2,2,122
12592,92,18,437.6,2,2,2,222
12593,109,21,418.09999999999997,2,2,2,222
12594,38,118,3338.2200000000003,3,4,5,345
12596,51,27,618.27,3,2,3,323
12597,19,206,3811.22,4,5,5,455
12598,10,132,3023.08,5,5,5,555
12599,29,62,1032.58,4,4,4,444
12600,29,64,2599.04,4,4,5,445
12601,190,28,577.0600000000001,1,2,3,123
12602,59,12,153.12,3,1,1,311
12603,22,2,739.1999999999999,4,1,3,413
12604,79,16,254.18,2,2,2,222
12607,60,101,1579.51,3,4,4,344
12609,78,60,1126.85,2,4,4,244
12610,23,106,2099.54,4,4,5,445
12611,52,65,1193.32,3,4,4,344
12612,74,19,704.0400000000001,2,2,3,223
12613,57,153,3344.38,3,5,5,355
12614,278,20,315.6,1,2,2,122
12615,2,105,2291.19,5,4,5,545
12616,95,32,713.3,2,3,3,233
12617,29,42,355.53,4,3,2,432
12618,22,11,177.31,4,1,1,411
12619,16,90,3641.24,4,4,5,445
12620,15,92,1339.41,4,4,4,444
12621,2,467,13689.67,5,5,5,555
12622,232,11,180.1,1,1,1,111
12623,276,18,305.1,1,2,2,122
12624,106,38,641.13,2,3,3,233
12625,212,86,2683.82,1,4,5,145
12626,23,294,6620.48,4,5,5,455
12627,11,230,4478.53,5,5,5,555
12628,4,41,786.46,5,3,3,533
12630,10,64,1270.88,5,4,4,544
12631,57,31,640.5,3,3,3,333
12633,59,101,2163.98,3,4,5,345
12635,90,101,1689.18,2,4,4,244
12637,67,390,6021.9,3,5,5,355
12638,33,39,671.69,4,3,3,433
12639,239,22,486.1,1,2,2,122
12640,24,53,1174.58,4,3,4,434
12641,115,10,185.9,2,1,1,211
12642,25,47,1013.26,4,3,4,434
12643,128,24,3344.64,2,2,5,225
12644,130,31,477.91,2,3,2,232
12645,34,73,1775.18,3,4,4,344
12646,5,45,1346.97,5,3,4,534
12647,22,121,3722.82,4,4,5,445
12648,155,21,318.05,2,2,2,222
12649,107,31,623.51,2,3,3,233
12650,3,20,314.44,5,2,2,522
12651,335,9,114.0,1,1,1,111
12652,331,48,919.98,1,3,3,133
12653,149,43,2209.85,2,3,5,235
12654,11,38,601.98,5,3,3,533
12656,17,126,4051.17,4,5,5,455
12657,11,47,1643.18,5,3,4,534
12658,19,36,686.05,4,3,3,433
12659,30,5,91.68,4,1,1,411
12660,11,13,245.1,5,1,1,511
12662,1,230,3849.78,5,5,5,555
12664,8,37,4881.88,5,3,5,535
12665,325,3,63.0,1,1,1,111
12667,58,33,620.13,3,3,3,333
12668,12,161,3807.15,5,5,5,555
12669,151,101,2744.0299999999997,2,4,5,245
12670,10,92,2996.05,5,4,5,545
12672,330,10,225.89999999999998,1,1,1,111
12673,5,42,610.52,5,3,3,533
12674,39,83,1970.6,3,4,4,344
12676,25,45,1331.39,4,3,4,434
12678,42,165,17628.46,3,5,5,355
12679,59,48,1113.02,3,3,4,334
12680,1,52,862.81,5,3,3,533
12681,15,638,13787.54,4,5,5,455
12682,4,525,12288.22,5,5,5,555
12683,4,344,8476.57,5,5,5,555
12684,8,105,2283.63,5,4,5,545
12685,28,157,2863.08,4,5,5,455
12686,372,7,89.14,1,1,1,111
12688,114,171,4873.8099999999995,2,5,5,255
12689,26,72,1247.61,4,4,4,444
12690,206,16,389.01,1,2,2,122
12691,28,32,1035.8,4,3,4,434
12693,127,39,855.91,2,3,3,233
12694,70,37,869.67,3,3,3,333
12695,7,27,582.1,5,2,3,523
12697,29,41,957.59,4,3,4,434
12700,8,268,4939.99,5,5,5,555
12701,80,53,797.71,2,3,3,233
12702,20,12,219.0,4,1,1,411
12703,71,21,283.55,3,2,2,322
12704,7,88,2340.84,5,4,5,545
12705,15,334,6868.29,4,5,5,455
12707,292,33,603.42,1,3,3,133
12708,30,157,2712.91,4,5,5,455
12709,15,208,9736.52,4,5,5,455
12710,97,77,1149.02,2,4,4,244
12712,29,133,4396.13,4,5,5,455
12713,1,38,848.55,5,3,3,533
12714,9,259,4708.86,5,5,5,555
12715,106,21,353.86,2,2,2,222
12716,4,69,1053.49,5,4,4,544
12717,151,55,1030.98,2,3,4,234
12718,71,19,238.25,3,2,1,321
12719,5,39,644.95,5,3,3,533
12720,3,354,5781.73,5,5,5,555
12721,32,161,2656.13,4,5,5,455
12722,85,53,997.63,2,3,4,234
12723,4,69,725.07,5,4,3,543
12724,5,53,1031.41,5,3,4,534
12725,371,24,427.8,1,2,2,122
12726,28,124,2609.1,4,5,5,455
12727,11,139,3980.7,5,5,5,555
12728,71,46,836.33,3,3,3,333
12729,114,26,453.01,2,2,2,222
12731,24,274,18895.91,4,5,5,455
12732,180,12,236.26000000000002,1,1,1,111
12733,234,22,383.95,1,2,2,122
12734,353,4,110.39999999999999,1,1,1,111
12735,315,43,779.5699999999999,1,3,3,133
12736,333,4,234.0,1,1,1,111
12738,372,11,155.35,1,1,1,111
12739,78,38,1013.04,2,3,4,234
12740,64,27,427.6,3,2,2,322
12743,134,134,546.43,2,5,3,253
12744,52,222,21279.29,3,5,5,355
12747,2,103,4196.01,5,4,5,545
12748,1,4595,33719.73,5,5,5,555
12749,4,199,4090.88,5,5,5,555
12750,129,15,275.88,2,2,2,222
12752,81,53,4366.78,2,3,5,235
12753,23,197,21429.39,4,5,5,455
12754,236,63,3010.74,1,4,5,145
12755,281,4,3811.95,1,1,5,115
12756,87,4,112.07999999999998,2,1,1,211
12757,16,371,7857.1,4,5,5,455
12758,117,97,2791.59,2,4,5,245
12759,52,95,1531.44,3,4,4,344
12762,8,69,1898.52,5,4,4,544
12763,138,18,494.08,2,2,3,223
12764,317,45,1693.88,1,3,4,134
12766,4,310,6989.63,5,5,5,555
12769,239,32,1143.6,1,3,4,134
12770,211,12,1351.45,1,1,4,114
12772,60,55,892.47,3,3,3,333
12775,17,66,1386.04,4,4,4,444
12778,20,50,822.23,4,3,3,433
12779,38,149,3981.36,3,5,5,355
12781,64,25,826.74,3,2,3,323
12782,5,103,2330.92,5,4,5,545
12783,2,84,2225.91,5,4,5,545
12784,9,59,574.42,5,4,3,543
12785,364,14,311.95,1,1,2,112
12787,10,20,463.66,5,2,2,522
12789,65,4,91.85,3,1,1,311
12790,192,21,324.92,1,2,2,122
12791,374,2,192.60000000000002,1,1,1,111
12792,257,25,400.53999999999996,1,2,2,122
12793,335,24,545.48,1,2,3,123
12794,53,45,860.41,3,3,3,333
12795,19,14,430.48,4,1,2,412
12797,366,13,254.03,1,1,2,112
12798,10,8,6977.04,5,1,5,515
12802,187,25,427.58,1,2,2,122
12808,37,28,483.65000000000003,3,2,2,322
12809,178,25,489.31,2,2,2,222
12811,261,31,514.85,1,3,3,133
12812,45,15,229.64000000000001,3,2,1,321
12814,102,2,125.92,2,1,1,211
12815,148,47,1063.46,2,3,4,234
12816,96,29,572.2,2,2,3,223
12817,281,4,166.04,1,1,1,111
12818,262,14,1542.08,1,1,4,114
12820,3,59,942.34,5,4,4,544
12821,214,6,92.72,1,1,1,111
12822,71,46,948.88,3,3,4,334
12823,75,5,1759.5,2,1,4,214
12824,60,25,397.12,3,2,2,322
12826,3,91,1474.72,5,4,4,544
12827,6,25,430.15000000000003,5,2,2,522
12828,3,56,1018.71,5,3,4,534
12829,337,11,293.0,1,1,2,112
12830,38,38,6814.64,3,3,5,335
12831,262,9,215.05,1,1,1,111
12832,32,27,383.03,4,2,2,422
12833,145,24,417.38,2,2,2,222
12834,283,18,312.38,1,2,2,122
12836,59,175,2612.86,3,5,5,355
12837,173,12,134.1,2,1,1,211
12838,34,123,683.13,3,5,3,353
12839,3,314,5591.42,5,5,5,555
12840,144,113,2726.77,2,4,5,245
12841,5,420,4022.35,5,5,5,555
12842,70,34,1118.99,3,3,4,334
12843,66,103,1702.26,3,4,4,344
12844,29,52,325.96000000000004,4,3,2,432
12845,267,27,354.09,1,2,2,122
12847,22,91,871.54,4,4,3,443
12849,31,51,1050.8899999999999,4,3,4,434
12851,97,50,135.18,2,3,1,231
12852,295,17,311.55,1,2,2,122
12853,135,78,1957.1000000000001,2,4,4,244
12854,79,110,1324.5,2,4,4,244
12855,373,3,38.1,1,1,1,111
12856,8,314,2179.93,5,5,5,555
12857,211,46,1106.4,1,3,4,134
12863,52,5,521.2,3,1,3,313
12864,138,3,147.12,2,1,1,211
12865,26,95,1568.23,4,4,4,444
12866,283,26,559.12,1,2,3,123
12867,26,538,4036.82,4,5,5,455
12868,186,107,1607.0600000000002,1,4,4,144
12871,84,11,380.64,2,1,2,212
12872,327,66,599.97,1,4,3,143
12873,282,4,374.0,1,1,2,112
12875,143,2,343.2300000000001,2,1,2,212
12876,58,85,2218.02,3,4,5,345
12877,4,154,1535.77,5,5,4,554
12878,236,47,854.99,1,3,3,133
12879,45,10,573.22,3,1,3,313
12881,276,7,298.0,1,1,2,112
12882,9,13,1463.04,5,1,4,514
12883,25,42,703.47,4,3,3,433
12884,88,7,309.05,2,1,2,212
12885,63,71,1175.22,3,4,4,344
12886,68,82,1378.4,3,4,4,344
12888,214,5,354.12,1,1,2,112
12890,24,82,380.46999999999997,4,4,2,442
12891,186,3,331.0,1,1,2,112
12893,31,34,188.14,4,3,1,431
12895,42,22,372.8,3,2,2,322
12897,205,4,216.5,1,1,1,111
12901,9,116,17654.54,5,4,5,545
12902,265,10,138.68,1,1,1,111
12904,18,72,509.58,4,4,3,443
12906,12,63,2919.81,5,4,5,545
12908,176,2,750.0,2,1,3,213
12909,40,91,2178.67,3,4,5,345
12910,23,75,3075.04,4,4,5,445
12912,3,24,1662.3,5,2,4,524
12913,5,50,2483.63,5,3,5,535
12915,149,22,363.65,2,2,2,222
12916,139,107,3006.15,2,4,5,245
12917,128,2,594.0,2,1,3,213
12919,8,50,1335.19,5,3,4,534
12920,17,28,164.23,4,2,1,421
12921,9,720,16587.09,5,5,5,555
12922,161,28,405.38,2,2,2,222
12923,64,29,176.97,3,2,1,321
12924,88,30,933.7,2,3,3,233
12925,5,45,694.05,5,3,3,533
12928,35,84,2062.7000000000003,3,4,5,345
12929,312,8,117.85,1,1,1,111
12930,78,25,415.8,2,2,2,222
12931,22,82,42055.96,4,4,5,445
12933,24,106,607.53,4,4,3,443
12935,2,129,2160.7,5,5,5,555
12936,17,62,1063.9,4,4,4,444
12937,15,120,1504.27,4,4,4,444
12938,26,9,114.14,4,1,1,411
12939,64,47,11581.8,3,3,5,335
12940,55,99,913.54,3,4,3,343
12942,131,75,683.9,2,4,3,243
12944,36,30,604.51,3,3,3,333
12945,288,23,462.95,1,2,2,122
12947,144,97,1603.99,2,4,4,244
12948,16,116,2064.95,4,4,5,445
12949,31,215,4167.22,4,5,5,455
12950,2,23,1843.0,5,2,4,524
12951,9,63,1064.07,5,4,4,544
12952,6,79,1387.79,5,4,4,544
12953,10,17,329.85,5,2,2,522
12955,1,180,4757.16,5,5,5,555
12956,306,19,108.07,1,2,1,121
12957,10,238,4017.54,5,5,5,555
12962,7,16,266.39,5,2,2,522
12963,8,95,1856.63,5,4,4,544
12965,89,109,771.91,2,4,3,243
12966,10,10,160.18,5,1,1,511
12967,358,19,1660.9,1,2,4,124
12968,112,5,135.95,2,1,1,211
12970,7,151,452.24,5,5,2,552
12971,4,305,11189.91,5,5,5,555
12974,198,8,144.8,1,1,1,111
12976,212,22,738.6,1,2,3,123
12977,156,9,39.239999999999995,2,1,1,211
12980,158,20,7374.900000000001,2,2,5,225
12981,30,20,372.21999999999997,4,2,2,422
12982,243,28,390.54,1,2,2,122
12984,19,4,97.5,4,1,1,411
12985,1,76,1239.38,5,4,4,544
12987,74,28,558.7,2,2,3,223
12988,292,92,535.32,1,4,3,143
12989,3,64,6924.110000000001,5,4,5,545
12990,31,13,409.5,4,1,2,412
12991,23,31,503.76,4,3,3,433
12993,23,27,414.76,4,2,2,422
12994,4,61,974.4200000000001,5,4,4,544
12995,85,3,211.32,2,1,1,211
12997,22,59,1226.89,4,4,4,444
12999,196,28,455.88,1,2,2,122
13000,107,31,534.85,2,3,3,233
13001,4,339,9818.82,5,5,5,555
13002,318,7,120.94999999999999,1,1,1,111
13003,106,6,149.05,2,1,1,211
13004,12,404,5655.91,5,5,5,555
13005,174,26,513.7,2,2,3,223
13006,56,4,81.57,3,1,1,311
13008,323,14,229.46999999999997,1,1,1,111
13011,372,3,50.550000000000004,1,1,1,111
13012,9,89,1661.8400000000001,5,4,4,544
13013,1,219,4810.9400000000005,5,5,5,555
13014,11,109,3466.2799999999997,5,4,5,545
13015,53,176,3346.28,3,5,5,355
13016,73,47,789.89,2,3,3,233
13017,7,1,204.0,5,1,1,511
13018,16,458,7277.7,4,5,5,455
13021,4,131,2616.38,5,5,5,555
13023,64,40,689.9,3,3,3,333
13026,1,40,975.36,5,3,4,534
13027,114,26,6912.0,2,2,5,225
13028,23,45,661.3199999999999,4,3,3,433
13029,31,10,1247.5,4,1,4,414
13030,11,99,799.48,5,4,3,543
13032,52,71,1010.18,3,4,4,344
13033,357,11,190.55,1,1,1,111
13034,55,37,642.77,3,3,3,333
13035,74,27,921.88,2,2,3,223
13037,138,48,881.07,2,3,3,233
13038,80,28,908.46,2,2,3,223
13040,9,43,676.99,5,3,3,533
13043,273,13,516.42,1,1,3,113
13044,291,33,560.47,1,3,3,133
13045,99,18,305.28000000000003,2,2,2,222
13046,31,35,629.31,4,3,3,433
13047,32,172,3237.54,4,5,5,455
13048,14,136,1835.91,4,5,4,454
13049,64,14,656.6800000000001,3,2,3,323
13050,15,403,5836.86,4,5,5,455
13052,212,18,348.15000000000003,1,2,2,122
13055,78,76,1214.41,2,4,4,244
13058,25,8,271.40000000000003,4,1,2,412
13059,250,8,183.4,1,1,1,111
13060,254,15,307.53,1,2,2,122
13061,72,10,248.61,3,1,1,311
13062,191,11,346.98,1,1,2,112
13064,13,69,1119.49,5,4,4,544
13065,373,14,205.86,1,2,1,121
13066,24,48,470.8,4,3,2,432
13067,82,15,115.46000000000001,2,2,1,221
13068,10,2,344.0,5,1,2,512
13069,1,425,4436.12,5,5,5,555
13070,192,9,228.8,1,1,1,111
13072,267,7,177.15,1,1,1,111
13075,130,22,919.61,2,2,3,223
13077,1,112,729.27,5,4,3,543
13078,3,358,12627.94,5,5,5,555
13079,4,6,220.10000000000002,5,1,1,511
13080,179,6,58.08,2,1,1,211
13081,12,1024,28337.38,5,5,5,555
13082,126,73,3613.63,2,4,5,245
13083,4,18,303.75,5,2,2,522
13085,158,22,416.08000000000004,2,2,2,222
13089,3,1818,58825.83,5,5,5,555
13090,9,155,8910.82,5,5,5,555
13091,28,21,345.82,4,2,2,422
13092,71,25,477.83,3,2,2,322
13093,276,159,7832.47,1,5,5,155
13094,21,24,1927.3200000000002,4,2,4,424
13095,71,6,74.39999999999999,3,1,1,311
13097,33,423,6010.42,4,5,5,455
13098,1,572,28882.44,5,5,5,555
13099,99,1,207.35999999999999,2,1,1,211
13101,234,8,101.19,1,1,1,111
13102,1,304,6424.09,5,5,5,555
13103,40,8,243.94,3,1,1,311
13104,3,20,1098.48,5,2,4,524
13106,133,1,76.5,2,1,1,211
13107,44,58,1531.6200000000001,3,3,4,334
13108,373,10,350.06,1,1,2,112
13109,60,47,786.54,3,3,3,333
13110,31,145,1488.67,4,5,4,454
13113,1,200,12245.960000000001,5,5,5,555
13115,12,120,2294.78,5,4,5,545
13116,138,30,501.14,2,3,3,233
13117,22,76,984.91,4,4,4,444
13118,20,79,1197.81,4,4,4,444
13120,239,1,30.599999999999998,1,1,1,111
13121,269,50,283.73,1,3,2,132
13122,94,55,922.39,2,3,3,233
13124,90,235,3866.33,2,5,5,255
13126,5,140,2099.64,5,5,5,555
13127,78,15,259.17,2,2,2,222
13130,94,2,64.0,2,1,1,211
13131,23,44,1073.3,4,3,4,434
13132,262,3,77.3,1,1,1,111
13133,274,7,109.8,1,1,1,111
13134,86,98,1793.58,2,4,4,244
13135,197,1,3096.0,1,1,5,115
13136,56,127,2607.61,3,5,5,355
13137,11,704,3650.41,5,5,5,555
13138,22,63,962.39,4,4,4,444
13139,16,170,5064.94,4,5,5,455
13140,108,46,423.72,2,3,2,232
13141,85,135,2388.75,2,5,5,255
13142,19,23,307.09,4,2,2,422
13144,333,3,110.95,1,1,1,111
13145,40,6,618.52,3,1,3,313
13146,26,17,228.91,4,2,1,421
13147,10,4,712.8000000000001,5,1,3,513
13148,29,319,3707.12,4,5,5,455
13149,14,86,1676.06,4,4,4,444
13151,296,74,1257.8700000000001,1,4,4,144
13153,6,15,486.22,5,2,2,522
13155,33,85,971.76,4,4,4,444
13157,49,87,1741.22,3,4,4,344
13158,95,79,1201.06,2,4,4,244
13159,9,121,1437.85,5,4,4,544
13160,22,4,91.8,4,1,1,411
13161,313,8,112.75,1,1,1,111
13162,122,79,1688.29,2,4,4,244
13165,46,42,1021.48,3,3,4,334
13166,283,41,417.2,1,3,2,132
13167,19,65,791.33,4,4,3,443
13168,36,131,1319.19,3,5,4,354
13169,64,13,712.88,3,1,3,313
13170,27,32,116.00999999999999,4,3,1,431
13171,22,46,468.41,4,3,2,432
13173,4,43,353.65,5,3,2,532
13174,16,314,2817.03,4,5,5,455
13176,46,72,492.84,3,4,3,343
13177,65,17,282.45,3,2,2,322
13178,26,265,5725.47,4,5,5,455
13182,45,11,121.18,3,1,1,311
13183,8,94,3957.78,5,4,5,545
13184,15,181,1701.29,4,5,4,454
13185,268,1,71.4,1,1,1,111
13186,40,79,1575.89,3,4,4,344
13187,337,37,236.02,1,3,1,131
13188,11,2,114.60000000000001,5,1,1,511
13189,19,29,260.68,4,2,2,422
13192,95,63,911.94,2,4,3,243
13193,61,29,117.88,3,2,1,321
13194,136,3,60.7,2,1,1,211
13196,11,110,1797.78,5,4,4,544
13198,10,226,3401.2400000000002,5,5,5,555
13199,4,119,9817.12,5,4,5,545
13200,19,46,870.09,4,3,3,433
13203,10,57,869.46,5,3,3,533
13207,15,8,250.26000000000002,4,1,2,412
13208,59,149,1223.9,3,5,4,354
13209,30,321,5891.61,4,5,5,455
13210,94,22,353.48,2,2,2,222
13211,10,56,1197.42,5,3,4,534
13212,20,142,788.08,4,5,3,453
13213,57,90,1520.58,3,4,4,344
13216,268,5,333.74,1,1,2,112
13217,122,4,533.98,2,1,3,213
13218,127,5,62.63999999999999,2,1,1,211
13220,78,21,819.2900000000001,2,2,3,223
13221,240,66,847.41,1,4,3,143
13223,200,5,163.20000000000002,1,1,1,111
13224,60,108,2155.95,3,4,5,345
13225,3,32,6463.84,5,3,5,535
13226,273,16,108.21000000000001,1,2,1,121
13227,202,9,257.7,1,1,2,112
13228,81,2,358.0,2,1,2,212
13229,226,10,160.95,1,1,1,111
13230,4,611,2806.97,5,5,5,555
13232,13,207,1357.6,5,5,4,554
13233,74,43,605.12,2,3,3,233
13235,212,58,1031.07,1,3,4,134
13236,25,36,744.85,4,3,3,433
13238,17,31,700.73,4,3,3,433
13239,262,21,329.56,1,2,2,122
13240,96,67,663.65,2,4,3,243
13242,112,13,270.40000000000003,2,1,2,212
13243,203,58,600.07,1,3,3,133
13244,93,27,121.74000000000001,2,2,1,221
13245,51,16,430.5,3,2,2,322
13246,18,141,1987.3,4,5,4,454
13247,18,25,501.12,4,2,3,423
13248,125,26,465.68,2,2,2,222
13249,92,23,711.41,2,2,3,223
13253,157,36,1030.4,2,3,4,234
13255,9,13,399.51,5,1,2,512
13258,12,38,698.58,5,3,3,533
13259,62,87,292.32,3,4,2,342
13260,61,8,557.62,3,1,3,313
13261,269,9,944.1,1,1,4,114
13262,263,11,200.29,1,1,1,111
13263,1,1677,7454.07,5,5,5,555
13265,53,91,2107.66,3,4,5,345
13266,11,187,3834.2599999999998,5,5,5,555
13267,3,211,4521.49,5,5,5,555
13268,18,440,3214.69,4,5,5,455
13269,1,316,5346.2300000000005,5,5,5,555
